N;S_wide;err_wide;S_narrow;err_narrow
100;1.6527631123;0.7082459265;0.9500000000;0.0054828141
600;0.8587886760;0.0857285099;0.9333333333;0.0111838526
1100;0.8219624035;0.1225547824;0.9568181818;0.0123009959
1600;0.9175265808;0.0269906051;0.9515625000;0.0070453141
2100;0.9536952413;0.0091780554;0.9398809524;0.0046362335
2600;1.0283028414;0.0837856555;0.9466346154;0.0021174295
3100;0.8718560631;0.0726611228;0.9379032258;0.0066139601
3600;0.9236029157;0.0209142702;0.9538194444;0.0093022585
4100;0.9627285848;0.0182113989;0.9454268293;0.0009096434
4600;0.9299434392;0.0145737467;0.9546195652;0.0101023793
5100;0.9760261978;0.0315090119;0.9416666667;0.0028505192
5600;0.9288112028;0.0157059831;0.9515625000;0.0070453141
6100;0.8893363710;0.0551808149;0.9409836066;0.0035335793
6600;0.9648483410;0.0203311551;0.9248106061;0.0197065798
7100;0.9557818164;0.0112646305;0.9364436620;0.0080735239
7600;0.9645382250;0.0200210391;0.9365131579;0.0080040280
8100;0.9602109585;0.0156937726;0.9396604938;0.0048566921
8600;0.9416906105;0.0028265754;0.9427325581;0.0017846278
9100;0.9476411640;0.0031239781;0.9418956044;0.0026215815
9600;0.8790431259;0.0654740600;0.9472656250;0.0027484391
10100;0.9606625429;0.0161453570;0.9490099010;0.0044927151
10600;0.9988118920;0.0542947061;0.9448113208;0.0002941349
11100;0.9257925860;0.0187245999;0.9426801802;0.0018370057
11600;0.9579656376;0.0134484517;0.9348060345;0.0097111514
12100;0.9440917146;0.0004254713;0.9463842975;0.0018671116
12600;0.9691272031;0.0246100172;0.9532738095;0.0087566236
13100;0.9395590931;0.0049580928;0.9442748092;0.0002423767
13600;0.9457636668;0.0012464809;0.9469669118;0.0024497259
14100;0.9529072262;0.0083900403;0.9425531915;0.0019639944
14600;0.9542343030;0.0097171171;0.9457191781;0.0012019922
15100;0.9541857937;0.0096686078;0.9479304636;0.0034132777
15600;0.9666046709;0.0220874850;0.9436698718;0.0008473141
16100;0.9915370955;0.0470199096;0.9386645963;0.0058525896
16600;0.9593288370;0.0148116511;0.9471385542;0.0026213683
17100;0.9477661191;0.0032489332;0.9464912281;0.0019740422
17600;0.9020595463;0.0424576396;0.9364346591;0.0080825268
18100;0.9808077488;0.0362905629;0.9444751381;0.0000420478
18600;0.9931214148;0.0486042289;0.9467069892;0.0021898033
19100;0.9264024837;0.0181147022;0.9476439791;0.0031267932
19600;0.9870944158;0.0425772299;0.9455357143;0.0010185284
20100;0.9431922941;0.0013248918;0.9445895522;0.0000723663
20600;0.9599429385;0.0154257526;0.9417475728;0.0027696131
21100;0.9616160065;0.0170988206;0.9398104265;0.0047067594
21600;0.9100999491;0.0344172368;0.9468171296;0.0022999437
22100;0.9607757885;0.0162586026;0.9436651584;0.0008520275
