Size,ArrayType,Algorithm,TimeUs,Comparisons
100,Random,Std_QuickSort,48.2166,745
100,Random,Std_MergeSort,65.5584,597
100,Random,Ternary_QS,26.9164,687
100,Random,LCP_MergeSort,74.8082,504
100,Random,MSD_Radix,55.2752,175
100,Random,MSD_Hybrid,15.825,160
100,Reversed,Std_QuickSort,38.3582,943
100,Reversed,Std_MergeSort,53.4334,602
100,Reversed,Ternary_QS,21.2748,574
100,Reversed,LCP_MergeSort,61.8332,360
100,Reversed,MSD_Radix,44.9416,237
100,Reversed,MSD_Hybrid,24.5998,465
100,NearlySorted,Std_QuickSort,37.5834,899
100,NearlySorted,Std_MergeSort,62.4002,742
100,NearlySorted,Ternary_QS,21.2498,544
100,NearlySorted,LCP_MergeSort,60.725,364
100,NearlySorted,MSD_Radix,52.1082,247
100,NearlySorted,MSD_Hybrid,26.0248,451
100,Prefixed,Std_QuickSort,250.883,18597
100,Prefixed,Std_MergeSort,250.317,15183
100,Prefixed,Ternary_QS,61.1334,3232
100,Prefixed,LCP_MergeSort,108.833,3183
100,Prefixed,MSD_Radix,59.2416,700
100,Prefixed,MSD_Hybrid,70.3998,700
200,Random,Std_QuickSort,114.891,1813
200,Random,Std_MergeSort,156.117,1506
200,Random,Ternary_QS,52.033,1375
200,Random,LCP_MergeSort,166.25,1202
200,Random,MSD_Radix,103.825,396
200,Random,MSD_Hybrid,31.467,418
200,Reversed,Std_QuickSort,87.5416,2129
200,Reversed,Std_MergeSort,122.767,1334
200,Reversed,Ternary_QS,41.8082,1243
200,Reversed,LCP_MergeSort,130.467,729
200,Reversed,MSD_Radix,91.8668,487
200,Reversed,MSD_Hybrid,52.458,948
200,NearlySorted,Std_QuickSort,103.7,1987
200,NearlySorted,Std_MergeSort,141.017,1710
200,NearlySorted,Ternary_QS,44.2666,1219
200,NearlySorted,LCP_MergeSort,131.375,743
200,NearlySorted,MSD_Radix,86.8668,474
200,NearlySorted,MSD_Hybrid,47.675,909
200,Prefixed,Std_QuickSort,582.4,43292
200,Prefixed,Std_MergeSort,559.434,35922
200,Prefixed,Ternary_QS,114.542,6680
200,Prefixed,LCP_MergeSort,272.367,6562
200,Prefixed,MSD_Radix,113.708,1400
200,Prefixed,MSD_Hybrid,121.041,1400
300,Random,Std_QuickSort,179.442,3157
300,Random,Std_MergeSort,256.7,2541
