n pattern algo avg_time_micro
500 random merge 72.2
500 random hybrid 55.6
600 random merge 84.8
600 random hybrid 66.8
700 random merge 97.6
700 random hybrid 79.6
800 random merge 114.4
800 random hybrid 102.6
900 random merge 130
900 random hybrid 100.2
1000 random merge 146.4
1000 random hybrid 120.4
1100 random merge 158.4
1100 random hybrid 125.4
1200 random merge 164.4
1200 random hybrid 136.4
1300 random merge 183.2
1300 random hybrid 158.2
1400 random merge 200.4
1400 random hybrid 169.8
1500 random merge 200.2
1500 random hybrid 180
1600 random merge 213.4
1600 random hybrid 192.2
1700 random merge 229.4
1700 random hybrid 188.2
1800 random merge 243.2
1800 random hybrid 188
1900 random merge 242.8
1900 random hybrid 201.2
2000 random merge 258.4
2000 random hybrid 215
2100 random merge 262.4
2100 random hybrid 219
2200 random merge 273.2
2200 random hybrid 233.6
2300 random merge 283.2
2300 random hybrid 234.6
2400 random merge 288.2
2400 random hybrid 242.8
2500 random merge 293.4
2500 random hybrid 253.8
2600 random merge 305.8
2600 random hybrid 263.6
2700 random merge 311.8
2700 random hybrid 274.6
2800 random merge 320.2
2800 random hybrid 280
2900 random merge 333
2900 random hybrid 288.8
3000 random merge 336.8
3000 random hybrid 299.4
3100 random merge 342.8
3100 random hybrid 312.6
3200 random merge 357.6
3200 random hybrid 326.8
3300 random merge 374.6
3300 random hybrid 315.8
3400 random merge 354.8
3400 random hybrid 297.6
3500 random merge 367.8
3500 random hybrid 308.4
3600 random merge 383
3600 random hybrid 332
3700 random merge 396
3700 random hybrid 328.8
3800 random merge 412.6
3800 random hybrid 352.4
3900 random merge 431.2
3900 random hybrid 377.6
4000 random merge 439.2
4000 random hybrid 383.2
4100 random merge 487.6
4100 random hybrid 439.8
4200 random merge 495.2
4200 random hybrid 389.4
4300 random merge 469.8
4300 random hybrid 406.6
4400 random merge 518.8
4400 random hybrid 417.4
4500 random merge 510.4
4500 random hybrid 434.2
4600 random merge 498.8
4600 random hybrid 447.2
4700 random merge 534.6
4700 random hybrid 471.2
4800 random merge 552.8
4800 random hybrid 507.8
4900 random merge 550
4900 random hybrid 491.6
5000 random merge 572.6
5000 random hybrid 508.4
5100 random merge 613.6
5100 random hybrid 518.2
5200 random merge 578
5200 random hybrid 519.6
5300 random merge 604.6
5300 random hybrid 538.2
5400 random merge 670
5400 random hybrid 550.8
5500 random merge 621.2
5500 random hybrid 561.4
5600 random merge 647
5600 random hybrid 603
5700 random merge 696.8
5700 random hybrid 579.4
5800 random merge 672.2
5800 random hybrid 600.8
5900 random merge 709
5900 random hybrid 659.6
6000 random merge 685.4
6000 random hybrid 641
6100 random merge 713.2
6100 random hybrid 719.8
6200 random merge 726
6200 random hybrid 673
6300 random merge 759.8
6300 random hybrid 698.8
6400 random merge 814
6400 random hybrid 703.6
6500 random merge 782.2
6500 random hybrid 681.8
6600 random merge 832.8
6600 random hybrid 699.2
6700 random merge 838
6700 random hybrid 712.8
6800 random merge 880.6
6800 random hybrid 746
6900 random merge 809.6
6900 random hybrid 706.4
7000 random merge 884.6
7000 random hybrid 712.2
7100 random merge 842.4
7100 random hybrid 746.6
7200 random merge 892.8
7200 random hybrid 729
7300 random merge 856.6
7300 random hybrid 753.2
7400 random merge 895.6
7400 random hybrid 749.6
7500 random merge 896.8
7500 random hybrid 787.6
7600 random merge 931.2
7600 random hybrid 815.8
7700 random merge 940.2
7700 random hybrid 830.6
7800 random merge 937
7800 random hybrid 794.6
7900 random merge 954.2
7900 random hybrid 841.4
8000 random merge 947.2
8000 random hybrid 852.8
8100 random merge 986
8100 random hybrid 886.8
8200 random merge 1005.4
8200 random hybrid 899.2
8300 random merge 1031
8300 random hybrid 910.4
8400 random merge 1050.2
8400 random hybrid 935.6
8500 random merge 1058.2
8500 random hybrid 938
8600 random merge 1071.4
8600 random hybrid 912.2
8700 random merge 1075
8700 random hybrid 957.6
8800 random merge 1086.6
8800 random hybrid 965
8900 random merge 1086.2
8900 random hybrid 1015.8
9000 random merge 1121.6
9000 random hybrid 1041.4
9100 random merge 1165.6
9100 random hybrid 994.8
9200 random merge 1136.8
9200 random hybrid 1028
9300 random merge 1176.6
9300 random hybrid 1047.2
9400 random merge 1204
9400 random hybrid 1068.8
9500 random merge 1219.6
9500 random hybrid 1043.2
9600 random merge 1198.4
9600 random hybrid 1083.8
9700 random merge 1189.2
9700 random hybrid 1051.8
9800 random merge 1209.8
9800 random hybrid 1123.4
9900 random merge 1235.8
9900 random hybrid 1156.8
10000 random merge 1259.4
10000 random hybrid 1138
10100 random merge 1395.4
10100 random hybrid 1131
10200 random merge 1272.8
10200 random hybrid 1154.2
10300 random merge 1297.2
10300 random hybrid 1174.6
10400 random merge 1283.6
10400 random hybrid 1183
10500 random merge 1319.2
10500 random hybrid 1181.6
10600 random merge 1341.6
10600 random hybrid 1205
10700 random merge 1365.6
10700 random hybrid 1203.6
10800 random merge 1373.6
10800 random hybrid 1240.8
10900 random merge 1355.2
10900 random hybrid 1258.4
11000 random merge 1388.2
11000 random hybrid 1271
11100 random merge 1454.4
11100 random hybrid 1254.6
11200 random merge 1454
11200 random hybrid 1297
11300 random merge 1469
11300 random hybrid 1297.4
11400 random merge 1452.6
11400 random hybrid 1340.4
11500 random merge 1440.8
11500 random hybrid 1328.6
11600 random merge 1469.4
11600 random hybrid 1362
11700 random merge 1527.8
11700 random hybrid 1393.2
11800 random merge 1525.6
11800 random hybrid 1347.6
11900 random merge 1530.2
11900 random hybrid 1393.8
12000 random merge 1566.6
12000 random hybrid 1367.2
12100 random merge 1552.4
12100 random hybrid 1397.4
12200 random merge 1560.8
12200 random hybrid 1455.4
12300 random merge 1595
12300 random hybrid 1460.6
12400 random merge 1575
12400 random hybrid 1479
12500 random merge 1612
12500 random hybrid 1493.4
12600 random merge 1608.6
12600 random hybrid 1549.6
12700 random merge 1685.6
12700 random hybrid 1549
12800 random merge 1611.6
12800 random hybrid 1527.8
12900 random merge 1673.4
12900 random hybrid 1559.8
13000 random merge 1652.4
13000 random hybrid 1489.4
13100 random merge 1652.2
13100 random hybrid 1484
13200 random merge 1719.6
13200 random hybrid 1516
13300 random merge 1742.4
13300 random hybrid 1533.8
13400 random merge 1763
13400 random hybrid 1550.8
13500 random merge 1782.2
13500 random hybrid 1558.6
13600 random merge 1719.8
13600 random hybrid 1560.8
13700 random merge 1754
13700 random hybrid 1564.6
13800 random merge 1779.6
13800 random hybrid 1569.4
13900 random merge 1807.6
13900 random hybrid 1609.6
14000 random merge 1874.2
14000 random hybrid 1595.6
14100 random merge 1841.2
14100 random hybrid 1620.2
14200 random merge 1857.8
14200 random hybrid 1649.4
14300 random merge 1901
14300 random hybrid 1599.8
14400 random merge 1923.8
14400 random hybrid 1620.8
14500 random merge 1914
14500 random hybrid 1682.4
14600 random merge 2084
14600 random hybrid 1666.4
14700 random merge 1978.2
14700 random hybrid 1747.8
14800 random merge 1933
14800 random hybrid 1704.2
14900 random merge 2036
14900 random hybrid 1732.6
15000 random merge 2016.8
15000 random hybrid 1800.2
15100 random merge 2072.8
15100 random hybrid 1725.4
15200 random merge 2024
15200 random hybrid 1790.2
15300 random merge 2028
15300 random hybrid 1814.4
15400 random merge 2094.2
15400 random hybrid 1825.2
15500 random merge 2027.2
15500 random hybrid 1795
15600 random merge 2113.4
15600 random hybrid 1801.2
15700 random merge 2080.2
15700 random hybrid 1830.4
15800 random merge 2090.2
15800 random hybrid 1910
15900 random merge 2164.8
15900 random hybrid 1868.6
16000 random merge 2160.4
16000 random hybrid 1875.6
16100 random merge 2192.4
16100 random hybrid 1948.2
16200 random merge 2112.8
16200 random hybrid 1899
16300 random merge 2133.8
16300 random hybrid 1948.2
16400 random merge 2203.8
16400 random hybrid 1910.8
