n pattern algo avg_time_micro
500 random merge 79.2
500 random hybrid 57.4
600 random merge 101.6
600 random hybrid 75.6
700 random merge 124.2
700 random hybrid 89
800 random merge 142.8
800 random hybrid 108.2
900 random merge 164.4
900 random hybrid 111.2
1000 random merge 163.2
1000 random hybrid 129
1100 random merge 182.2
1100 random hybrid 142.2
1200 random merge 203.2
1200 random hybrid 156.6
1300 random merge 208.4
1300 random hybrid 157.6
1400 random merge 218.8
1400 random hybrid 170
1500 random merge 237
1500 random hybrid 186.4
1600 random merge 232.4
1600 random hybrid 183.2
1700 random merge 247.4
1700 random hybrid 197.2
1800 random merge 262.6
1800 random hybrid 199
1900 random merge 258.8
1900 random hybrid 209
2000 random merge 274.4
2000 random hybrid 227.6
2100 random merge 273.4
2100 random hybrid 226.8
2200 random merge 287.2
2200 random hybrid 238.6
2300 random merge 291.2
2300 random hybrid 237.8
2400 random merge 301.2
2400 random hybrid 250.8
2500 random merge 312
2500 random hybrid 251.6
2600 random merge 316.2
2600 random hybrid 261.2
2700 random merge 327.8
2700 random hybrid 265.8
2800 random merge 336.4
2800 random hybrid 273.2
2900 random merge 340.8
2900 random hybrid 282.2
3000 random merge 356.6
3000 random hybrid 287
3100 random merge 355.2
3100 random hybrid 289.2
3200 random merge 363.2
3200 random hybrid 299
3300 random merge 372
3300 random hybrid 308.6
3400 random merge 385
3400 random hybrid 319.8
3500 random merge 387.4
3500 random hybrid 309.6
3600 random merge 380.6
3600 random hybrid 319.8
3700 random merge 394
3700 random hybrid 328
3800 random merge 406
3800 random hybrid 344.2
3900 random merge 420.2
3900 random hybrid 359.6
4000 random merge 441.6
4000 random hybrid 390.4
4100 random merge 488.6
4100 random hybrid 401.6
4200 random merge 454.8
4200 random hybrid 396.8
4300 random merge 479
4300 random hybrid 423.4
4400 random merge 493.2
4400 random hybrid 421.6
4500 random merge 508.8
4500 random hybrid 431.6
4600 random merge 548.2
4600 random hybrid 445.4
4700 random merge 538.4
4700 random hybrid 439.4
4800 random merge 528.2
4800 random hybrid 461
4900 random merge 544.2
4900 random hybrid 473.4
5000 random merge 596.4
5000 random hybrid 475.6
5100 random merge 562.4
5100 random hybrid 495.4
5200 random merge 591
5200 random hybrid 513.8
5300 random merge 632.6
5300 random hybrid 507.8
5400 random merge 617.8
5400 random hybrid 543.6
5500 random merge 647.6
5500 random hybrid 554
5600 random merge 657.2
5600 random hybrid 540
5700 random merge 656
5700 random hybrid 559
5800 random merge 669.2
5800 random hybrid 587.2
5900 random merge 673.4
5900 random hybrid 575.8
6000 random merge 713.2
6000 random hybrid 608.8
6100 random merge 720.4
6100 random hybrid 601.2
6200 random merge 715.4
6200 random hybrid 622.4
6300 random merge 738.2
6300 random hybrid 637
6400 random merge 742.4
6400 random hybrid 653
6500 random merge 772
6500 random hybrid 679
6600 random merge 760.4
6600 random hybrid 655.2
6700 random merge 799.2
6700 random hybrid 684.4
6800 random merge 803.4
6800 random hybrid 680.2
6900 random merge 833.6
6900 random hybrid 705.8
7000 random merge 844
7000 random hybrid 703.8
7100 random merge 854
7100 random hybrid 737.4
7200 random merge 884.4
7200 random hybrid 750.2
7300 random merge 901.2
7300 random hybrid 768.8
7400 random merge 899.6
7400 random hybrid 750.2
7500 random merge 887.8
7500 random hybrid 772.2
7600 random merge 914
7600 random hybrid 775
7700 random merge 938.4
7700 random hybrid 813.2
7800 random merge 968.2
7800 random hybrid 832
7900 random merge 990.4
7900 random hybrid 857.4
8000 random merge 950.2
8000 random hybrid 853.8
8100 random merge 1091.8
8100 random hybrid 989.6
8200 random merge 1037.8
8200 random hybrid 872.6
8300 random merge 1037.2
8300 random hybrid 875.2
8400 random merge 1033
8400 random hybrid 921.2
8500 random merge 1055
8500 random hybrid 935
8600 random merge 1085
8600 random hybrid 904.6
8700 random merge 1067.4
8700 random hybrid 941.6
8800 random merge 1097.8
8800 random hybrid 969.8
8900 random merge 1109.2
8900 random hybrid 966.6
9000 random merge 1117.2
9000 random hybrid 990.4
9100 random merge 1122.4
9100 random hybrid 980.8
9200 random merge 1146.6
9200 random hybrid 998
9300 random merge 1137.8
9300 random hybrid 1010.2
9400 random merge 1184.4
9400 random hybrid 1046.2
9500 random merge 1207.8
9500 random hybrid 1030.4
9600 random merge 1213.8
9600 random hybrid 1067.6
9700 random merge 1251.8
9700 random hybrid 1101
9800 random merge 1270.8
9800 random hybrid 1031
9900 random merge 1223
9900 random hybrid 1087.2
10000 random merge 1251
10000 random hybrid 1124.4
10100 random merge 1366
10100 random hybrid 1453.2
10200 random merge 1298
10200 random hybrid 1115.2
10300 random merge 1313.4
10300 random hybrid 1141.2
10400 random merge 1319.4
10400 random hybrid 1170.8
10500 random merge 1305.2
10500 random hybrid 1180.2
10600 random merge 1355.2
10600 random hybrid 1160.6
10700 random merge 1373.4
10700 random hybrid 1171
10800 random merge 1393
10800 random hybrid 1216
10900 random merge 1355.2
10900 random hybrid 1205.2
11000 random merge 1386.8
11000 random hybrid 1245
11100 random merge 1445.8
11100 random hybrid 1224.4
11200 random merge 1457.4
11200 random hybrid 1202.6
11300 random merge 1446.6
11300 random hybrid 1263.2
11400 random merge 1478
11400 random hybrid 1294
11500 random merge 1461.4
11500 random hybrid 1297.6
11600 random merge 1479
11600 random hybrid 1325
11700 random merge 1502.4
11700 random hybrid 1314.4
11800 random merge 1530.2
11800 random hybrid 1304.2
11900 random merge 1547.6
11900 random hybrid 1300.8
12000 random merge 1558.8
12000 random hybrid 1377.6
12100 random merge 1586.4
12100 random hybrid 1357
12200 random merge 1570.2
12200 random hybrid 1410.2
12300 random merge 1575.4
12300 random hybrid 1410.2
12400 random merge 1583.2
12400 random hybrid 1433.4
12500 random merge 1652.4
12500 random hybrid 1447.8
12600 random merge 1686
12600 random hybrid 1464.2
12700 random merge 1613.2
12700 random hybrid 1428.8
12800 random merge 1682.6
12800 random hybrid 1476.4
12900 random merge 1672.6
12900 random hybrid 1470.4
13000 random merge 1695.2
13000 random hybrid 1497.2
13100 random merge 1708.2
13100 random hybrid 1517.2
13200 random merge 1707.4
13200 random hybrid 1481
13300 random merge 1739
13300 random hybrid 1534.6
13400 random merge 1735.8
13400 random hybrid 1531
13500 random merge 1748.8
13500 random hybrid 1552.6
13600 random merge 1766.2
13600 random hybrid 1574.6
13700 random merge 1799.8
13700 random hybrid 1564
13800 random merge 1787.2
13800 random hybrid 1613.6
13900 random merge 1806
13900 random hybrid 1628.4
14000 random merge 1786.4
14000 random hybrid 1602.2
14100 random merge 1835.2
14100 random hybrid 1615.2
14200 random merge 1858.8
14200 random hybrid 1635.8
14300 random merge 1906
14300 random hybrid 1691.6
14400 random merge 1945.8
14400 random hybrid 1660.6
14500 random merge 1988.2
14500 random hybrid 1705.8
14600 random merge 2534.4
14600 random hybrid 3046.2
14700 random merge 2152.6
14700 random hybrid 1768.8
14800 random merge 2037.4
14800 random hybrid 1717.4
14900 random merge 2060.4
14900 random hybrid 1738.8
15000 random merge 2119.4
15000 random hybrid 1821.6
15100 random merge 1995.4
15100 random hybrid 1760.6
15200 random merge 2012
15200 random hybrid 1770.6
15300 random merge 2060.4
15300 random hybrid 1745.6
15400 random merge 2048.4
15400 random hybrid 1812
15500 random merge 2065.8
15500 random hybrid 1835.6
15600 random merge 2051.2
15600 random hybrid 1845
15700 random merge 2133.4
15700 random hybrid 1907.6
15800 random merge 2165.2
15800 random hybrid 1913
15900 random merge 2102
15900 random hybrid 1875.4
16000 random merge 2161.6
16000 random hybrid 1939.8
16100 random merge 2191.4
16100 random hybrid 1907.4
16200 random merge 2238.6
16200 random hybrid 1971.4
16300 random merge 2179
16300 random hybrid 1997.2
16400 random merge 2229
16400 random hybrid 2019
16500 random merge 2252.8
16500 random hybrid 1937.4
16600 random merge 2207.6
16600 random hybrid 2020
16700 random merge 2211.4
16700 random hybrid 2013
16800 random merge 2285.8
16800 random hybrid 1987
16900 random merge 2307.4
16900 random hybrid 2077.4
17000 random merge 2336.6
17000 random hybrid 2104
17100 random merge 2355.8
17100 random hybrid 2073.4
17200 random merge 2325.6
17200 random hybrid 2074.4
17300 random merge 2302.6
17300 random hybrid 2073
17400 random merge 2407.4
17400 random hybrid 2135.2
17500 random merge 2337
17500 random hybrid 2095
17600 random merge 2399.4
17600 random hybrid 2096.2
17700 random merge 2378
17700 random hybrid 2177.8
17800 random merge 2476.6
17800 random hybrid 2158.4
17900 random merge 2468.8
17900 random hybrid 2217.2
18000 random merge 2454.8
18000 random hybrid 2195
18100 random merge 2488.2
18100 random hybrid 2137.6
18200 random merge 2440.6
18200 random hybrid 2201.4
18300 random merge 2514
18300 random hybrid 2276.2
18400 random merge 2574
18400 random hybrid 2303
18500 random merge 2825.4
18500 random hybrid 4115
18600 random merge 3270.4
18600 random hybrid 2287
18700 random merge 2595.4
18700 random hybrid 2294
18800 random merge 2575.6
18800 random hybrid 2299.8
18900 random merge 2615.4
18900 random hybrid 2266.6
19000 random merge 2624.4
19000 random hybrid 2311.2
19100 random merge 2625.8
19100 random hybrid 2286
19200 random merge 2611.2
19200 random hybrid 2377.4
19300 random merge 2638.2
19300 random hybrid 2323.4
19400 random merge 2727.6
19400 random hybrid 2368.4
19500 random merge 2671.4
19500 random hybrid 2392
19600 random merge 2794.8
19600 random hybrid 2440.6
19700 random merge 2700.2
19700 random hybrid 2436.8
19800 random merge 2760.6
19800 random hybrid 2411.6
19900 random merge 2792.6
19900 random hybrid 2488.4
20000 random merge 2790.2
20000 random hybrid 2404.4
20100 random merge 2793.6
20100 random hybrid 2450.2
20200 random merge 2764.6
20200 random hybrid 2472.4
20300 random merge 2791
20300 random hybrid 2465.4
20400 random merge 2769.6
20400 random hybrid 2529.6
20500 random merge 2880.2
20500 random hybrid 2549
20600 random merge 2834.6
20600 random hybrid 2483.4
20700 random merge 2870.4
20700 random hybrid 2580.4
20800 random merge 2925
20800 random hybrid 2587.4
20900 random merge 2880.6
20900 random hybrid 2544
21000 random merge 2878.6
21000 random hybrid 2585.2
21100 random merge 2936.8
21100 random hybrid 2620.4
21200 random merge 3003.2
21200 random hybrid 2647
21300 random merge 2932
21300 random hybrid 2647
21400 random merge 2970.8
21400 random hybrid 2635.8
21500 random merge 2989
21500 random hybrid 2652.2
21600 random merge 3008
21600 random hybrid 2600
21700 random merge 3022
21700 random hybrid 2711.8
21800 random merge 3088.4
21800 random hybrid 2664.6
21900 random merge 3050.6
21900 random hybrid 2695
22000 random merge 3070.8
22000 random hybrid 2678.8
22100 random merge 3145
22100 random hybrid 2789.6
22200 random merge 3061.4
22200 random hybrid 2711.6
22300 random merge 3129
22300 random hybrid 2772.4
22400 random merge 3152
22400 random hybrid 2817.2
22500 random merge 3229.8
22500 random hybrid 2822.6
22600 random merge 3082.4
22600 random hybrid 2758.6
22700 random merge 3167.6
22700 random hybrid 2797.8
22800 random merge 3205.4
22800 random hybrid 2762
22900 random merge 3210.8
22900 random hybrid 2838.6
23000 random merge 3225.2
23000 random hybrid 2832.2
23100 random merge 3276.2
23100 random hybrid 2873.8
23200 random merge 3279.8
23200 random hybrid 2869.2
23300 random merge 3226.6
23300 random hybrid 2878.8
23400 random merge 3336.4
23400 random hybrid 2927
23500 random merge 3349.8
23500 random hybrid 2847.8
23600 random merge 3264.8
23600 random hybrid 2907.4
23700 random merge 3369.6
23700 random hybrid 2978
23800 random merge 3325.6
23800 random hybrid 2901.2
23900 random merge 3335.2
23900 random hybrid 2923.4
24000 random merge 3345.6
24000 random hybrid 2937.8
24100 random merge 3360.6
24100 random hybrid 2961.8
24200 random merge 3431
24200 random hybrid 3038
24300 random merge 3459.8
24300 random hybrid 3005.6
24400 random merge 3381.2
24400 random hybrid 2998
24500 random merge 3478.2
24500 random hybrid 3020.4
24600 random merge 3426.8
24600 random hybrid 3032.2
24700 random merge 3425.8
24700 random hybrid 3047.6
24800 random merge 3435.6
24800 random hybrid 3041.6
24900 random merge 3538
24900 random hybrid 3145.2
25000 random merge 3495.6
25000 random hybrid 3082.2
25100 random merge 3502.6
25100 random hybrid 3142.8
25200 random merge 3605.4
25200 random hybrid 3191.6
25300 random merge 3630
25300 random hybrid 3200.6
25400 random merge 3646.4
25400 random hybrid 3214
25500 random merge 3663.2
25500 random hybrid 3228.4
25600 random merge 3678.2
25600 random hybrid 3245.4
25700 random merge 3694.6
25700 random hybrid 3252.2
25800 random merge 3713
25800 random hybrid 3264.6
25900 random merge 3725
25900 random hybrid 3284.4
26000 random merge 3744.2
26000 random hybrid 3300.2
26100 random merge 3754.4
26100 random hybrid 3300.2
26200 random merge 3764
26200 random hybrid 3321.8
26300 random merge 3779.4
26300 random hybrid 3338
26400 random merge 3800.6
26400 random hybrid 3340.2
26500 random merge 3806.2
26500 random hybrid 3359.6
26600 random merge 3832.8
26600 random hybrid 3371.8
26700 random merge 3833
26700 random hybrid 3387.4
26800 random merge 3850.2
26800 random hybrid 3403
26900 random merge 3874.8
26900 random hybrid 3418.2
27000 random merge 3887
27000 random hybrid 3422.8
27100 random merge 3898.2
27100 random hybrid 3439
27200 random merge 3916.4
27200 random hybrid 3452.6
27300 random merge 3939.6
27300 random hybrid 3468.4
27400 random merge 3946
27400 random hybrid 3481.4
27500 random merge 4090
27500 random hybrid 3595.4
27600 random merge 3999.4
27600 random hybrid 3454
27700 random merge 3953.6
27700 random hybrid 3515.6
27800 random merge 3938.6
27800 random hybrid 3512.2
27900 random merge 3929
27900 random hybrid 3497.4
28000 random merge 3986.4
28000 random hybrid 3526.4
28100 random merge 4016.6
28100 random hybrid 3539.2
28200 random merge 4035.8
28200 random hybrid 3548.4
28300 random merge 4047
28300 random hybrid 3576
28400 random merge 4322.2
28400 random hybrid 3656.4
28500 random merge 4076.2
28500 random hybrid 3589
28600 random merge 4089.6
28600 random hybrid 3601
28700 random merge 4106.6
28700 random hybrid 3618.4
28800 random merge 4109.2
28800 random hybrid 3625.2
28900 random merge 4137.2
28900 random hybrid 3634.2
29000 random merge 4150.8
29000 random hybrid 3668.4
29100 random merge 4175.4
29100 random hybrid 3661.8
29200 random merge 4188.8
29200 random hybrid 3693.2
29300 random merge 4198.6
29300 random hybrid 3698.8
29400 random merge 4220.8
29400 random hybrid 3715.6
29500 random merge 4236
29500 random hybrid 3722.6
29600 random merge 4254.8
29600 random hybrid 3735
